"Code","ActiveIngredients","Size","Price"
"A18503","Ropivacaine hydrochloride 7.5<U+202F>mg per 1<U+202F>ml","5",NA
"A18504","Ropivacaine hydrochloride 7.5<U+202F>mg per 1<U+202F>ml","10",NA
"A18505","Ropivacaine hydrochloride 7.5<U+202F>mg per 1<U+202F>ml","5",NA
"A18506","Ropivacaine hydrochloride 7.5<U+202F>mg per 1<U+202F>ml","10",NA
"A18507","Ropivacaine hydrochloride 10<U+202F>mg per 1<U+202F>ml","5",NA
"A18508","Ropivacaine hydrochloride 10<U+202F>mg per 1<U+202F>ml","10",NA
"A18509","Ropivacaine hydrochloride 10<U+202F>mg per 1<U+202F>ml","5",NA
"A18510","Ropivacaine hydrochloride 10<U+202F>mg per 1<U+202F>ml","10",NA
"A18511","Ropivacaine hydrochloride 2<U+202F>mg per 1<U+202F>ml","5",NA
"A18512","Ropivacaine hydrochloride 2<U+202F>mg per 1<U+202F>ml","10",NA
"A18513","Ropivacaine hydrochloride 2<U+202F>mg per 1<U+202F>ml","5",NA
"A18514","Ropivacaine hydrochloride 2<U+202F>mg per 1<U+202F>ml","5",NA
"A18515","Rosuvastatin (as Rosuvastatin calcium) 5<U+202F>mg","28",NA
"A18516","Rosuvastatin (as Rosuvastatin calcium) 5<U+202F>mg","28",NA
"A18517","Rosuvastatin (as Rosuvastatin calcium) 5<U+202F>mg","28",NA
"A18518","Rosuvastatin (as Rosuvastatin calcium) 5<U+202F>mg","28",NA
"A18519","Rosuvastatin (as Rosuvastatin calcium) 5<U+202F>mg","28",NA
"A18520","Rosuvastatin (as Rosuvastatin calcium) 5<U+202F>mg","28",NA
"A18521","Rosuvastatin (as Rosuvastatin calcium) 5<U+202F>mg","28",NA
"A18522","Rosuvastatin (as Rosuvastatin calcium) 5<U+202F>mg","28",NA
"A18523","Rosuvastatin (as Rosuvastatin calcium) 5<U+202F>mg","28",NA
"A18524","Rosuvastatin (as Rosuvastatin calcium) 5<U+202F>mg","28",NA
"A18525","Rosuvastatin (as Rosuvastatin calcium) 5<U+202F>mg","28",NA
"A18526","Rosuvastatin (as Rosuvastatin calcium) 5<U+202F>mg","28",NA
"A18527","Rosuvastatin (as Rosuvastatin calcium) 5<U+202F>mg","28",NA
"A18528","Rosuvastatin (as Rosuvastatin calcium) 5<U+202F>mg","28",NA
"A18529","Rosuvastatin (as Rosuvastatin calcium) 5<U+202F>mg","28",NA
"A18530","Rosuvastatin (as Rosuvastatin calcium) 5<U+202F>mg","28",NA
"A18531","Rosuvastatin (as Rosuvastatin calcium) 10<U+202F>mg","28",NA
"A18532","Rosuvastatin (as Rosuvastatin calcium) 10<U+202F>mg","28",NA
"A18533","Rosuvastatin (as Rosuvastatin calcium) 10<U+202F>mg","28",NA
"A18534","Rosuvastatin (as Rosuvastatin calcium) 10<U+202F>mg","28",NA
"A18535","Rosuvastatin (as Rosuvastatin calcium) 10<U+202F>mg","28",NA
"A18536","Rosuvastatin (as Rosuvastatin calcium) 10<U+202F>mg","28",NA
"A18537","Rosuvastatin (as Rosuvastatin calcium) 10<U+202F>mg","28",NA
"A18538","Rosuvastatin (as Rosuvastatin calcium) 10<U+202F>mg","28",NA
"A18539","Rosuvastatin (as Rosuvastatin calcium) 10<U+202F>mg","28",NA
"A18540","Rosuvastatin (as Rosuvastatin calcium) 10<U+202F>mg","28",NA
"A18541","Rosuvastatin (as Rosuvastatin calcium) 10<U+202F>mg","28",NA
"A18542","Rosuvastatin (as Rosuvastatin calcium) 10<U+202F>mg","28",NA
"A18543","Rosuvastatin (as Rosuvastatin calcium) 10<U+202F>mg","28",NA
"A18544","Rosuvastatin (as Rosuvastatin calcium) 10<U+202F>mg","28",NA
"A18545","Rosuvastatin (as Rosuvastatin calcium) 10<U+202F>mg","28",NA
"A18546","Rosuvastatin (as Rosuvastatin calcium) 10<U+202F>mg","28",NA
"A18547","Rosuvastatin (as Rosuvastatin calcium) 20<U+202F>mg","28",NA
"A18548","Rosuvastatin (as Rosuvastatin calcium) 20<U+202F>mg","28",NA
"A18549","Rosuvastatin (as Rosuvastatin calcium) 20<U+202F>mg","28",NA
"A18550","Rosuvastatin (as Rosuvastatin calcium) 20<U+202F>mg","28",NA
"A18551","Rosuvastatin (as Rosuvastatin calcium) 20<U+202F>mg","28",NA
"A18552","Rosuvastatin (as Rosuvastatin calcium) 20<U+202F>mg","28",NA
"A18553","Rosuvastatin (as Rosuvastatin calcium) 20<U+202F>mg","28",NA
"A18554","Rosuvastatin (as Rosuvastatin calcium) 20<U+202F>mg","28",NA
"A18555","Rosuvastatin (as Rosuvastatin calcium) 20<U+202F>mg","28",NA
"A18556","Rosuvastatin (as Rosuvastatin calcium) 20<U+202F>mg","28",NA
"A18557","Rosuvastatin (as Rosuvastatin calcium) 20<U+202F>mg","28",NA
"A18558","Rosuvastatin (as Rosuvastatin calcium) 20<U+202F>mg","28",NA
"A18559","Rosuvastatin (as Rosuvastatin calcium) 20<U+202F>mg","28",NA
"A18560","Rosuvastatin (as Rosuvastatin calcium) 20<U+202F>mg","28",NA
"A18561","Rosuvastatin (as Rosuvastatin calcium) 20<U+202F>mg","28",NA
"A18562","Rosuvastatin (as Rosuvastatin calcium) 20<U+202F>mg","28",NA
"A18563","Rosuvastatin (as Rosuvastatin calcium) 40<U+202F>mg","28",NA
"A18564","Rosuvastatin (as Rosuvastatin calcium) 40<U+202F>mg","28",NA
"A18565","Rosuvastatin (as Rosuvastatin calcium) 40<U+202F>mg","28",NA
"A18566","Rosuvastatin (as Rosuvastatin calcium) 40<U+202F>mg","28",NA
"A18567","Rosuvastatin (as Rosuvastatin calcium) 40<U+202F>mg","28",NA
"A18568","Rosuvastatin (as Rosuvastatin calcium) 40<U+202F>mg","28",NA
"A18569","Rosuvastatin (as Rosuvastatin calcium) 40<U+202F>mg","28",NA
"A18570","Rosuvastatin (as Rosuvastatin calcium) 40<U+202F>mg","28",NA
"A18571","Rosuvastatin (as Rosuvastatin calcium) 40<U+202F>mg","28",NA
"A18572","Rosuvastatin (as Rosuvastatin calcium) 40<U+202F>mg","28",NA
"A18573","Rosuvastatin (as Rosuvastatin calcium) 40<U+202F>mg","28",NA
"A18574","Rosuvastatin (as Rosuvastatin calcium) 40<U+202F>mg","28",NA
"A18575","Rosuvastatin (as Rosuvastatin calcium) 40<U+202F>mg","28",NA
"A18576","Rosuvastatin (as Rosuvastatin calcium) 40<U+202F>mg","28",NA
"A18577","Rosuvastatin (as Rosuvastatin calcium) 40<U+202F>mg","28",NA
"A18578","Rosuvastatin (as Rosuvastatin calcium) 40<U+202F>mg","28",NA
"A18579","Rotigotine 1<U+202F>mg per 24<U+202F>hour","28",NA
"A18580","Rotigotine 2<U+202F>mg per 24<U+202F>hour","7",NA
"A18581","Rotigotine 3<U+202F>mg per 24<U+202F>hour","28",NA
"A18582","Rotigotine 4<U+202F>mg per 24<U+202F>hour","28",NA
"A18583","Rotigotine 6<U+202F>mg per 24<U+202F>hour","7",NA
"A18584","Rotigotine 8<U+202F>mg per 24<U+202F>hour","28",NA
"A18585","Rotigotine 1<U+202F>mg per 24<U+202F>hour","7",NA
"A18586","Rotigotine 2<U+202F>mg per 24<U+202F>hour","28",NA
"A18587","Rotigotine 3<U+202F>mg per 24<U+202F>hour","7",NA
"A18588","Rotigotine 4<U+202F>mg per 24<U+202F>hour","28",NA
"A18589","Rucaparib (as Rucaparib camsilate) 200<U+202F>mg","60",NA
"A18590","Rucaparib (as Rucaparib camsilate) 250<U+202F>mg","60",NA
"A18591","Rucaparib (as Rucaparib camsilate) 300<U+202F>mg","60",NA
"A18592","Rufinamide 100<U+202F>mg","10",NA
"A18593","Rufinamide 200<U+202F>mg","60",NA
"A18594","Rufinamide 400<U+202F>mg","60",NA
"A18595","Rufinamide 40<U+202F>mg per 1<U+202F>ml","460",NA
"A18596","Rupatadine (as Rupatadine fumarate) 10<U+202F>mg","30",NA
"A18597","Rupatadine (as Rupatadine fumarate) 10<U+202F>mg","30",NA
"A18598","Rupatadine (as Rupatadine fumarate) 10<U+202F>mg","30",NA
"A18599","Rupatadine (as Rupatadine fumarate) 10<U+202F>mg","30",NA
"A18600","Ruxolitinib (as Ruxolitinib phosphate) 5<U+202F>mg","56",NA
"A18601","Ruxolitinib (as Ruxolitinib phosphate) 10<U+202F>mg","56",NA
"A18602","Ruxolitinib (as Ruxolitinib phosphate) 15<U+202F>mg","56",NA
"A18603","Ruxolitinib (as Ruxolitinib phosphate) 20<U+202F>mg","56",NA
"A18604","Sacubitril 24<U+202F>mg","28",NA
"A18605","Valsartan 26<U+202F>mg","28",NA
"A18606","Sacubitril 49<U+202F>mg","56",NA
"A18607","Valsartan 51<U+202F>mg","56",NA
"A18608","Sacubitril 97<U+202F>mg","28",NA
"A18609","Valsartan 103<U+202F>mg","28",NA
"A18610","Safinamide (as Safinamide methansulfonate) 50<U+202F>mg","30",NA
"A18611","Safinamide (as Safinamide methansulfonate) 100<U+202F>mg","30",NA
"A18612","Salbutamol (as Salbutamol sulfate) 2<U+202F>mg","28",NA
"A18613","Salbutamol (as Salbutamol sulfate) 2<U+202F>mg","28",NA
"A18614","Salbutamol (as Salbutamol sulfate) 2<U+202F>mg","28",NA
"A18615","Salbutamol (as Salbutamol sulfate) 2<U+202F>mg","28",NA
"A18616","Salbutamol (as Salbutamol sulfate) 4<U+202F>mg","28",NA
"A18617","Salbutamol (as Salbutamol sulfate) 4<U+202F>mg","28",NA
"A18618","Salbutamol (as Salbutamol sulfate) 4<U+202F>mg","28",NA
"A18619","Salbutamol (as Salbutamol sulfate) 4<U+202F>mg","28",NA
"A18620","Salbutamol (as Salbutamol sulfate) 400<U+202F>microgram per 1<U+202F>ml","150",NA
"A18621","Salbutamol (as Salbutamol sulfate) 400<U+202F>microgram per 1<U+202F>ml","150",NA
"A18622","Salbutamol (as Salbutamol sulfate) 500<U+202F>microgram per 1<U+202F>ml","5",NA
"A18623","Salbutamol (as Salbutamol sulfate) 1<U+202F>mg per 1<U+202F>ml","10",NA
"A18624","Salbutamol (as Salbutamol sulfate) 100<U+202F>microgram per 1<U+202F>dose","200",NA
"A18625","Salbutamol (as Salbutamol sulfate) 100<U+202F>microgram per 1<U+202F>dose","200",NA
"A18626","Salbutamol (as Salbutamol sulfate) 100<U+202F>microgram per 1<U+202F>dose","200",NA
"A18627","Salbutamol (as Salbutamol sulfate) 100<U+202F>microgram per 1<U+202F>dose","200",NA
"A18628","Salbutamol (as Salbutamol sulfate) 100<U+202F>microgram per 1<U+202F>dose","200",NA
"A18629","Salbutamol 100<U+202F>microgram per 1<U+202F>dose","200",NA
"A18630","Salbutamol (as Salbutamol sulfate) 100<U+202F>microgram per 1<U+202F>dose","200",NA
"A18631","Salbutamol (as Salbutamol sulfate) 100<U+202F>microgram per 1<U+202F>dose","200",NA
"A18632","Salbutamol 200<U+202F>microgram per 1<U+202F>dose","200",NA
"A18633","Salbutamol 200<U+202F>microgram per 1<U+202F>dose","60",NA
"A18634","Salbutamol (as Salbutamol sulfate) 1<U+202F>mg per 1<U+202F>ml","20",NA
"A18635","Salbutamol (as Salbutamol sulfate) 1<U+202F>mg per 1<U+202F>ml","20",NA
"A18636","Salbutamol (as Salbutamol sulfate) 1<U+202F>mg per 1<U+202F>ml","20",NA
"A18637","Salbutamol (as Salbutamol sulfate) 1<U+202F>mg per 1<U+202F>ml","20",NA
"A18638","Salbutamol (as Salbutamol sulfate) 1<U+202F>mg per 1<U+202F>ml","20",NA
"A18639","Salbutamol (as Salbutamol sulfate) 2<U+202F>mg per 1<U+202F>ml","20",NA
"A18640","Salbutamol (as Salbutamol sulfate) 2<U+202F>mg per 1<U+202F>ml","20",NA
"A18641","Salbutamol (as Salbutamol sulfate) 2<U+202F>mg per 1<U+202F>ml","20",NA
"A18642","Salbutamol (as Salbutamol sulfate) 2<U+202F>mg per 1<U+202F>ml","20",NA
"A18643","Salbutamol (as Salbutamol sulfate) 2<U+202F>mg per 1<U+202F>ml","20",NA
"A18644","Salbutamol (as Salbutamol sulfate) 2<U+202F>mg per 1<U+202F>ml","20",NA
"A18645","Salbutamol (as Salbutamol sulfate) 5<U+202F>mg per 1<U+202F>ml","20",NA
"A18646","Salicylic acid 260<U+202F>mg per 1<U+202F>ml","10",NA
"A18647","Salicylic acid 20<U+202F>mg per 1<U+202F>gram","450",NA
"A18648","Salicylic acid 20<U+202F>mg per 1<U+202F>gram","450",NA
"A18649","Salicylic acid 20<U+202F>mg per 1<U+202F>gram","450",NA
"A18650","Salicylic acid 500<U+202F>mg per 1<U+202F>gram","12",NA
"A18651","Salicylic acid 500<U+202F>mg per 1<U+202F>gram","28",NA
"A18652","Salicylic acid 500<U+202F>mg per 1<U+202F>gram","6",NA
"A18653","Salicylic acid 260<U+202F>mg per 1<U+202F>ml","6",NA
"A18654","Lactic acid 40<U+202F>mg per 1<U+202F>gram","6",NA
"A18655","Salicylic acid 120<U+202F>mg per 1<U+202F>gram","5",NA
"A18656","Lactic acid 40<U+202F>mg per 1<U+202F>gram","8",NA
"A18657","Salicylic acid 120<U+202F>mg per 1<U+202F>gram","15",NA
"A18658","Lactic acid 40<U+202F>mg per 1<U+202F>gram","10",NA
"A18659","Salicylic acid 120<U+202F>mg per 1<U+202F>gram","6",NA
"A18660","Lactic acid 150<U+202F>mg per 1<U+202F>gram","5",NA
"A18661","Salicylic acid 167<U+202F>mg per 1<U+202F>gram","8",NA
"A18662","Salicylic acid 167<U+202F>mg per 1<U+202F>gram","15",NA
"A18663","Lactic acid 167<U+202F>mg per 1<U+202F>gram","10",NA
"A18664","Rhubarb extract 50<U+202F>mg per 1<U+202F>ml","10",NA
"A18665","Salicylic acid 10<U+202F>mg per 1<U+202F>ml","10",NA
"A18666","Salmeterol (as Salmeterol xinafoate) 25<U+202F>microgram per 1<U+202F>dose","120",NA
"A18667","Salmeterol (as Salmeterol xinafoate) 25<U+202F>microgram per 1<U+202F>dose","120",NA
"A18668","Salmeterol (as Salmeterol xinafoate) 25<U+202F>microgram per 1<U+202F>dose","120",NA
"A18669","Salmeterol (as Salmeterol xinafoate) 50<U+202F>microgram per 1<U+202F>dose","60",NA
"A18670","Sapropterin dihydrochloride 100<U+202F>mg","30",NA
"A18671","Saquinavir (as Saquinavir mesilate) 500<U+202F>mg","120",NA
"A18672","Sarilumab 131.6<U+202F>mg per 1<U+202F>ml","2",NA
"A18673","Sarilumab 131.6<U+202F>mg per 1<U+202F>ml","2",NA
"A18674","Sarilumab 175<U+202F>mg per 1<U+202F>ml","2",NA
"A18675","Sarilumab 175<U+202F>mg per 1<U+202F>ml","2",NA
"A18676","Saxagliptin (as Saxagliptin hydrochloride) 2.5<U+202F>mg","28",NA
"A18677","Saxagliptin (as Saxagliptin hydrochloride) 5<U+202F>mg","28",NA
"A18678","Dapagliflozin (as Dapagliflozin propanediol monohydrate) 10<U+202F>mg","28",NA
"A18679","Saxagliptin (as Saxagliptin hydrochloride) 5<U+202F>mg","28",NA
"A18680","Metformin hydrochloride 850<U+202F>mg","56",NA
"A18681","Saxagliptin (as Saxagliptin hydrochloride) 2.5<U+202F>mg","56",NA
"A18682","Metformin hydrochloride 1<U+202F>gram","56",NA
"A18683","Saxagliptin (as Saxagliptin hydrochloride) 2.5<U+202F>mg","56",NA
"A18684","Secukinumab 150<U+202F>mg per 1<U+202F>ml","2",NA
"A18685","Secukinumab 150<U+202F>mg per 1<U+202F>ml","2",NA
"A18686","Selegiline hydrochloride 5<U+202F>mg","100",NA
"A18687","Selegiline hydrochloride 10<U+202F>mg","100",NA
"A18688","Selegiline hydrochloride 1.25<U+202F>mg","30",NA
"A18689","Selenium (as L-Selenomethionine) 100<U+202F>microgram","60",NA
"A18690","Selenium (as L-Selenomethionine) 100<U+202F>microgram","60",NA
"A18691","Selenium (as L-Selenomethionine) 100<U+202F>microgram","100",NA
"A18692","L-Selenomethionine 200<U+202F>microgram","30",NA
"A18693","L-Selenomethionine 200<U+202F>microgram","60",NA
"A18694","L-Selenomethionine 200<U+202F>microgram","60",NA
"A18695","L-Selenomethionine 200<U+202F>microgram","60",NA
"A18696","L-Selenomethionine 200<U+202F>microgram","150",NA
"A18697","L-Selenomethionine 200<U+202F>microgram","50",NA
"A18698","L-Selenomethionine 200<U+202F>microgram","250",NA
"A18699","Selenium (as Sodium selenite) 50<U+202F>microgram per 1<U+202F>ml","120",NA
"A18700","Selenium (as Sodium selenite) 50<U+202F>microgram per 1<U+202F>ml","30",NA
"A18701","Selenium (as Sodium selenite) 50<U+202F>microgram per 1<U+202F>ml","60",NA
"A18702","Selenium (as Sodium selenite) 50<U+202F>microgram per 1<U+202F>ml","20",NA
"A18703","Selenium (as Sodium selenite) 10<U+202F>microgram per 1<U+202F>ml","10",NA
"A18704","Selenium sulfide 25<U+202F>mg per 1<U+202F>ml","10",NA
"A18705","Selenium (as L-Selenomethionine) 100<U+202F>microgram","10",NA
"A18706","Selenium (as L-Selenomethionine) 100<U+202F>microgram","10",NA
"A18707","Selenium (as L-Selenomethionine) 100<U+202F>microgram","50",NA
"A18708","L-Selenomethionine 200<U+202F>microgram","100",NA
"A18709","L-Selenomethionine 200<U+202F>microgram","150",NA
"A18710","Selexipag 200<U+202F>microgram","60",NA
"A18711","Selexipag 400<U+202F>microgram","140",NA
"A18712","Selexipag 600<U+202F>microgram","60",NA
"A18713","Selexipag 800<U+202F>microgram","60",NA
"A18714","Selexipag 1<U+202F>mg","60",NA
"A18715","Selexipag 1.2<U+202F>mg","60",NA
"A18716","Selexipag 1.4<U+202F>mg","60",NA
"A18717","Selexipag 1.6<U+202F>mg","60",NA
"A18718","Selexipag 200<U+202F>microgram","60",NA
"A18719","Semaglutide 1.34<U+202F>mg per 1<U+202F>ml","1",NA
"A18720","Semaglutide 1.34<U+202F>mg per 1<U+202F>ml","1",NA
"A18721","Semaglutide 1.34<U+202F>mg per 1<U+202F>ml","1",NA
"A18722","Sennoside B (as Sennosides) 7.5<U+202F>mg","60",NA
"A18723","Sennoside B (as Sennosides) 7.5<U+202F>mg","50",NA
"A18724","Sennoside B (as Sennosides) 7.5<U+202F>mg","20",NA
"A18725","Sennoside B (as Sennosides) 7.5<U+202F>mg","60",NA
"A18726","Sennoside B (as Sennosides) 7.5<U+202F>mg","100",NA
"A18727","Sennoside B (as Sennosides) 7.5<U+202F>mg","60",NA
"A18728","Sennoside B (as Sennosides) 7.5<U+202F>mg","60",NA
"A18729","Sennoside B (as Sennosides) 7.5<U+202F>mg","60",NA
"A18730","Sennoside B (as Sennosides) 7.5<U+202F>mg","24",NA
"A18731","Sennoside B (as Sennosides) 7.5<U+202F>mg","60",NA
"A18732","Sennoside B (as Sennosides) 7.5<U+202F>mg","20",NA
"A18733","Sennoside B (as Sennosides) 7.5<U+202F>mg","60",NA
"A18734","Sennoside B (as Sennosides) 7.5<U+202F>mg","100",NA
"A18735","Sennoside B (as Sennosides) 15<U+202F>mg","60",NA
"A18736","Sennoside B (as Sennosides) 1.5<U+202F>mg per 1<U+202F>ml","20",NA
"A18737","Sennoside B (as Sennosides) 1.5<U+202F>mg per 1<U+202F>ml","60",NA
"A18738","Sennoside B (as Sennosides) 7.5<U+202F>mg","100",NA
"A18739","Sennoside B (as Sennosides) 7.5<U+202F>mg","20",NA
"A18740","Sennoside B (as Sennosides) 7.5<U+202F>mg","60",NA
"A18741","Sennoside B (as Sennosides) 7.5<U+202F>mg","100",NA
"A18742","Sennoside B (as Sennosides) 7.5<U+202F>mg","500",NA
"A18743","Sennoside B (as Sennosides) 7.5<U+202F>mg","20",NA
"A18744","Sennoside B (as Sennosides) 7.5<U+202F>mg","60",NA
"A18745","Sennoside B (as Sennosides) 7.5<U+202F>mg","100",NA
"A18746","Sennoside B (as Sennosides) 7.5<U+202F>mg","24",NA
"A18747","Sennoside B (as Sennosides) 7.5<U+202F>mg","48",NA
"A18748","Sennoside B (as Sennosides) 7.5<U+202F>mg","500",NA
"A18749","Sennoside B (as Sennosides) 7.5<U+202F>mg","150",NA
"A18750","Ispaghula 542<U+202F>mg per 1<U+202F>gram","400",NA
"A18751","Senna fruit 124<U+202F>mg per 1<U+202F>gram","400",NA
"A18752","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","28",NA
"A18753","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","28",NA
"A18754","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","500",NA
"A18755","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","28",NA
"A18756","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","28",NA
"A18757","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","28",NA
"A18758","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","28",NA
"A18759","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","28",NA
"A18760","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","28",NA
"A18761","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","28",NA
"A18762","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","28",NA
"A18763","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","28",NA
"A18764","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","28",NA
"A18765","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","28",NA
"A18766","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","500",NA
"A18767","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","28",NA
"A18768","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","28",NA
"A18769","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","28",NA
"A18770","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","28",NA
"A18771","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","28",NA
"A18772","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","28",NA
"A18773","Sertraline (as Sertraline hydrochloride) 100<U+202F>mg","28",NA
"A18774","Sertraline (as Sertraline hydrochloride) 100<U+202F>mg","28",NA
"A18775","Sertraline (as Sertraline hydrochloride) 100<U+202F>mg","28",NA
"A18776","Sertraline (as Sertraline hydrochloride) 100<U+202F>mg","500",NA
"A18777","Sertraline (as Sertraline hydrochloride) 100<U+202F>mg","28",NA
"A18778","Sertraline (as Sertraline hydrochloride) 100<U+202F>mg","28",NA
"A18779","Sertraline (as Sertraline hydrochloride) 100<U+202F>mg","28",NA
"A18780","Sertraline (as Sertraline hydrochloride) 100<U+202F>mg","28",NA
"A18781","Sertraline (as Sertraline hydrochloride) 100<U+202F>mg","28",NA
"A18782","Sertraline (as Sertraline hydrochloride) 100<U+202F>mg","28",NA
"A18783","Sertraline (as Sertraline hydrochloride) 100<U+202F>mg","28",NA
"A18784","Sertraline (as Sertraline hydrochloride) 100<U+202F>mg","28",NA
"A18785","Sertraline (as Sertraline hydrochloride) 100<U+202F>mg","28",NA
"A18786","Sertraline (as Sertraline hydrochloride) 100<U+202F>mg","28",NA
"A18787","Sertraline (as Sertraline hydrochloride) 100<U+202F>mg","500",NA
"A18788","Sertraline (as Sertraline hydrochloride) 100<U+202F>mg","28",NA
"A18789","Sertraline (as Sertraline hydrochloride) 100<U+202F>mg","28",NA
"A18790","Sertraline (as Sertraline hydrochloride) 100<U+202F>mg","28",NA
"A18791","Sertraline (as Sertraline hydrochloride) 100<U+202F>mg","28",NA
"A18792","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","28",NA
"A18793","Sertraline (as Sertraline hydrochloride) 50<U+202F>mg","28",NA
"A18794","Sevelamer hydrochloride 400<U+202F>mg","360",NA
"A18795","Sevelamer 800<U+202F>mg","180",NA
"A18796","Sevelamer 800<U+202F>mg","180",NA
"A18797","Sevelamer 800<U+202F>mg","180",NA
"A18798","Sevelamer 800<U+202F>mg","180",NA
"A18799","Sevelamer 800<U+202F>mg","180",NA
"A18800","Sevelamer 800<U+202F>mg","180",NA
"A18801","Sevelamer 800<U+202F>mg","180",NA
"A18802","Sevelamer 800<U+202F>mg","180",NA
"A18803","Sevelamer 800<U+202F>mg","180",NA
"A18804","Sevelamer carbonate 2.4<U+202F>gram","60",NA
"A18805","Sevelamer carbonate 2.4<U+202F>gram","60",NA
"A18806","Sevelamer carbonate 2.4<U+202F>gram","60",NA
"A18807","Sevelamer carbonate 2.4<U+202F>gram","60",NA
"A18808","Sevoflurane 1<U+202F>ml per 1<U+202F>ml","250",NA
"A18809","Sevoflurane 1<U+202F>ml per 1<U+202F>ml","250",NA
"A18810","Sildenafil (as Sildenafil citrate) 20<U+202F>mg","90",NA
"A18811","Sildenafil (as Sildenafil citrate) 20<U+202F>mg","90",NA
"A18812","Sildenafil (as Sildenafil citrate) 20<U+202F>mg","90",NA
"A18813","Sildenafil (as Sildenafil citrate) 20<U+202F>mg","90",NA
"A18814","Sildenafil (as Sildenafil citrate) 20<U+202F>mg","90",NA
"A18815","Sildenafil (as Sildenafil citrate) 20<U+202F>mg","90",NA
"A18816","Sildenafil (as Sildenafil citrate) 25<U+202F>mg","4",NA
"A18817","Sildenafil (as Sildenafil citrate) 25<U+202F>mg","8",NA
"A18818","Sildenafil (as Sildenafil citrate) 25<U+202F>mg","4",NA
"A18819","Sildenafil (as Sildenafil citrate) 25<U+202F>mg","8",NA
"A18820","Sildenafil (as Sildenafil citrate) 25<U+202F>mg","4",NA
"A18821","Sildenafil (as Sildenafil citrate) 25<U+202F>mg","4",NA
"A18822","Sildenafil (as Sildenafil citrate) 25<U+202F>mg","8",NA
"A18823","Sildenafil (as Sildenafil citrate) 25<U+202F>mg","4",NA
"A18824","Sildenafil (as Sildenafil citrate) 25<U+202F>mg","8",NA
"A18825","Sildenafil (as Sildenafil citrate) 25<U+202F>mg","4",NA
"A18826","Sildenafil (as Sildenafil citrate) 25<U+202F>mg","8",NA
"A18827","Sildenafil (as Sildenafil citrate) 25<U+202F>mg","4",NA
"A18828","Sildenafil (as Sildenafil citrate) 25<U+202F>mg","8",NA
"A18829","Sildenafil (as Sildenafil citrate) 25<U+202F>mg","4",NA
"A18830","Sildenafil (as Sildenafil citrate) 25<U+202F>mg","8",NA
"A18831","Sildenafil (as Sildenafil citrate) 25<U+202F>mg","4",NA
"A18832","Sildenafil (as Sildenafil citrate) 25<U+202F>mg","8",NA
"A18833","Sildenafil (as Sildenafil citrate) 50<U+202F>mg","4",NA
"A18834","Sildenafil (as Sildenafil citrate) 50<U+202F>mg","8",NA
"A18835","Sildenafil (as Sildenafil citrate) 50<U+202F>mg","4",NA
"A18836","Sildenafil (as Sildenafil citrate) 50<U+202F>mg","8",NA
"A18837","Sildenafil (as Sildenafil citrate) 50<U+202F>mg","8",NA
"A18838","Sildenafil (as Sildenafil citrate) 50<U+202F>mg","4",NA
"A18839","Sildenafil (as Sildenafil citrate) 50<U+202F>mg","8",NA
"A18840","Sildenafil (as Sildenafil citrate) 50<U+202F>mg","4",NA
"A18841","Sildenafil (as Sildenafil citrate) 50<U+202F>mg","4",NA
"A18842","Sildenafil (as Sildenafil citrate) 50<U+202F>mg","8",NA
"A18843","Sildenafil (as Sildenafil citrate) 50<U+202F>mg","4",NA
"A18844","Sildenafil (as Sildenafil citrate) 50<U+202F>mg","4",NA
"A18845","Sildenafil (as Sildenafil citrate) 50<U+202F>mg","8",NA
"A18846","Sildenafil (as Sildenafil citrate) 50<U+202F>mg","4",NA
"A18847","Sildenafil (as Sildenafil citrate) 50<U+202F>mg","8",NA
"A18848","Sildenafil (as Sildenafil citrate) 50<U+202F>mg","4",NA
"A18849","Sildenafil (as Sildenafil citrate) 50<U+202F>mg","8",NA
"A18850","Sildenafil (as Sildenafil citrate) 50<U+202F>mg","4",NA
"A18851","Sildenafil (as Sildenafil citrate) 50<U+202F>mg","8",NA
"A18852","Sildenafil (as Sildenafil citrate) 100<U+202F>mg","4",NA
